color,country,wine_name,grape_variety,year,price,type,sparkling
White,Greece,Nico Lazaridi Queen of Hearts,[],2021,35,Dry,False
White,Italy,Tenuta Ulisse,['Pecorino'],,40,Dry,False
White,Italy,Tenuta Ulisse,['Cococciola'],,40,Dry,False
White,Italy,Tenuta Ulisse,['Passerina'],,40,Dry,False
White,Italy,San Martino,['Pinot Grigio'],,30,Dry,False
White,Italy,Grande Alberone,['Bianco'],2022,33,Dry,False
White,Italy,San Martino Aromatico Friuli,['Traminer'],,27,Dry,False
White,Italy,Mezzacorona Castel Firmian,['Chardonnay'],2022,40,Dry,False
White,Italy,Veseva,['Falanghina'],2022,32,Dry,False
White,Italy,Feudi del Luca Puglia,['Fiano'],2022,35,Dry,False
White,Italy,Corte Allodola,['Lugana'],2022,33,Dry,False
White,Italy,Astrale,['Bianco'],,30,Dry,False
White,Italy,Ferlaia,['Bianco'],2021,45,Dry,False
White,Italy,Villa Antinori Toscana,[],2022,55,Dry,False
White,Italy,La Musina Sartori di Verona,['Lugana'],2022,35,Dry,False
White,Italy,Gavi Fontana Fredda Cortese,[],2022,55,Dry,False
White,Italy,Zite Terra di Chieti,['Pecorino'],2022,30,Dry,False
White,Italy,Vesuvio Lacryma Christi,['Caprettone'],2022,47.50,Dry,False
White,Italy,Fantinel,['Pinot Grigio'],2022,30,Dry,False
White,Italy,Santa Margherita Valdadige,['Pinot Grigio'],2023,60,Dry,False
White,Italy,Ferro 13 Hashtag,['Sauvignon'],2019,33,Dry,False
White,Italy,Ferro 13 The Lady,['Pinot Grigio'],,40,Dry,False
White,Italy,Tenuta Ulisse Dieci Vendemmie,['Pecorino'],,99,Dry,False
White,Italy,Bottega Venezie,['Pinot Grigio'],2023,60,Dry,False
White,Italy,Danzante,['Pinot Grigio'],2015,30,Dry,False
White,Italy,Scaia Garganega,['Chardonnay'],2023,50,Dry,False
White,Italy,Montemajor,['Greco di Tufo'],,45,Dry,False
White,Italy,Canti,['Pinot Grigio'],,30,Dry,False
White,Italy,Tinazzi Duca Delle Corone Puglia,['Fiano'],2022,40,Dry,False
White,Italy,Tinazzi CA de Rocchi Soave,"['Garganega', 'Trebbiano di Soave']",2022,40,Dry,False
White,Romania,Murfatlar Sur Mer,['Chardonnay'],,50,Dry,False
White,Romania,1251 Blanc de Noir,['Pinot Noir'],,42,Dry,False
White,Romania,Sceptrus,['Fume'],,37,Dry,False
White,Romania,Jidvei Ana,['Chardonnay'],2022,60,Dry,False
White,Romania,Sâmburești,['Chardonnay'],2022,25,Dry,False
White,Romania,Domeniile Davidescu,"['Viorica', 'Pinot Grigio']",2022,33,Dry,False
